Job Title,Company,Location,Date Posted,Job Link
"Software Engineer Intern, 2025","Etsy","Brooklyn, NY","2025-01-27","https://www.linkedin.com/jobs/view/software-engineer-intern-2025-at-etsy-4136580986?position=1&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=h%2FzyI8bCKps%2FuY60fp7l%2Fw%3D%3D"
"Software Engineer - Frontend","LinkedIn","Mountain View, CA","2025-01-09","https://www.linkedin.com/jobs/view/software-engineer-frontend-at-linkedin-4119820431?position=2&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=9CtQGKlTeLHKBHC1aLKyCA%3D%3D"
"Software Engineer - Applications","LinkedIn","Mountain View, CA","2025-01-17","https://www.linkedin.com/jobs/view/software-engineer-applications-at-linkedin-4127868599?position=3&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=q6Dt1a81yMafeu%2FRuxkRvQ%3D%3D"
"Software Engineer (Full-Stack)","Paces","New York, NY","2025-01-24","https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-paces-4133341026?position=4&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=2X0iwXKWfYOPcYiuHPSdQw%3D%3D"
"Front-End Web Developer","Miami HEAT","Miami, FL","2025-01-09","https://www.linkedin.com/jobs/view/front-end-web-developer-at-miami-heat-4121256801?position=5&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=83tYmcNN%2FV1kOMc4Ztpw1g%3D%3D"
"Software Engineer, FORTOP","Lyft","Seattle, WA","2025-01-15","https://www.linkedin.com/jobs/view/software-engineer-fortop-at-lyft-4125208069?position=6&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=wXjcOYmr3%2FecbyJzSd%2BxRQ%3D%3D"
"Software Engineer - Web","Plaid","San Francisco, CA","2025-01-23","https://www.linkedin.com/jobs/view/software-engineer-web-at-plaid-4133523308?position=7&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=79be4ZWK22MF4gjS3vUS0A%3D%3D"
"Software Engineer - Fullstack","Plaid","San Francisco, CA","2025-01-06","https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-plaid-4118009778?position=8&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=DMfIdVm3TAv%2Bcw4LwnW09Q%3D%3D"
"Software Engineer, Developer Experience","Notion","San Francisco, CA","2025-01-27","https://www.linkedin.com/jobs/view/software-engineer-developer-experience-at-notion-4136588579?position=9&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=ReZlNtGoPH%2F%2FdocZPQkx8g%3D%3D"
"Full Stack Software Engineer","Under Armour","United States","2025-01-24","https://www.linkedin.com/jobs/view/full-stack-software-engineer-at-under-armour-4133127557?position=10&pageNum=0&refId=I3w98ggb%2FuASyuoz7GgEZg%3D%3D&trackingId=EysUg5oadJxIRF7Ef5LpGA%3D%3D"
